,name,address,EVC_rapid,EVC_regular,category,lonlat
3849,九段会館テラス,東京都千代田区九段南１－６ー５,1,0,その他,"[139.751511, 35.69471]"
3850,ヨドバシカメラマルチメディアＡｋｉｂａ,東京都千代田区神田花岡町１－１,1,0,大規模小売店舗,"[139.774612, 35.698639]"
3851,ＯＴＥＭＡＣＨＩ　ＯＮＥ,東京都千代田区大手町一丁目２番１号,3,0,その他,"[139.76265, 35.687737]"
3852,ホテルニューオータニ東京,東京都千代田区紀尾井町４－１,2,0,宿泊施設,"[139.734283, 35.680435]"
3853,丸の内中央パーキング,東京都千代田区丸の内２－４－１,0,24,大規模小売店舗,"[139.763794, 35.681046]"
3854,東京ミッドタウン日比谷,東京都千代田区有楽町１－１－２,0,2,大規模小売店舗,"[139.759552, 35.674088]"
3855,東急プラザ赤坂,東京都千代田区永田町２－１４－３,0,5,大規模小売店舗,"[139.738052, 35.676807]"
3856,ＧＩＮＺＡ　ＳＩＸ,東京都中央区銀座六丁目１０番１号,2,0,大規模小売店舗,"[139.763351, 35.669445]"
3857,Ｏｋｕｒａ　Ｈｏｕｓｅ　Ｐａｒｋｉｎｇ,東京都中央区銀座２－６－１２０,1,0,その他,"[139.767105, 35.673546]"
3858,モビリティ東京　レクサス晴海,東京都中央区晴海１丁目８－１　トリトンスクエア,1,0,自動車ディーラー,"[139.78183, 35.655556]"
3859,メルセデス・ベンツ中央,東京都中央区新川２－９－６,1,0,自動車ディーラー,"[139.779785, 35.675667]"
3860,東京駅八重洲パーキング西駐車場,東京都中央区八重洲２丁目１番,0,18,その他,"[139.769608, 35.679859]"
3861,東京駅八重洲パーキング東駐車場,東京都中央区八重洲２丁目１番,0,9,その他,"[139.769608, 35.679859]"
3862,西銀座駐車場,東京都中央区銀座６丁目４－４,0,21,その他,"[139.761932, 35.671471]"
3863,リパーク日本橋小網町第８,東京都中央区日本橋小網町５－２,0,6,その他,"[139.781815, 35.681217]"
3864,モビリティ東京　中央勝どき店,東京都中央区勝どき２丁目１７番１０号,0,1,自動車ディーラー,"[139.777695, 35.657581]"
3865,モビリティ東京　中央晴海店,東京都中央区晴海１―８－１,0,1,自動車ディーラー,"[139.786163, 35.659523]"
3866,虎ノ門ヒルズ駐車場,東京都港区虎ノ門１丁目２３番３号,1,0,大規模小売店舗,"[139.749207, 35.666832]"
3867,モビリティ東京　レクサス高輪,東京都港区高輪３－２３－１０,1,0,自動車ディーラー,"[139.736893, 35.631153]"
3868,日産自動車販売三田高輪店,東京都港区三田２－１７－２０,1,0,自動車ディーラー,"[139.739655, 35.648575]"
3869,日産自動車販売白金店,東京都港区白金６丁目２３－４,2,0,自動車ディーラー,"[139.721268, 35.644115]"
3870,六本木ヒルズ第２駐車場,東京都港区六本木６丁目１０番１号,1,0,大規模小売店舗,"[139.729202, 35.660206]"
3871,アーク森ビル駐車場地下２階,東京都港区赤坂１丁目１２番３２号,1,0,大規模小売店舗,"[139.741302, 35.667343]"
3872,東京ポートシティ竹芝オフィスタワー,東京都港区海岸１－７－１海岸東京ポートシティ竹芝オフィスタワー１階,2,0,その他,"[139.760864, 35.655045]"
3873,汐留シティセンター,東京都港区東新橋１丁目５－２,1,0,大規模小売店舗,"[139.761398, 35.665634]"
3874,東京タワーパーキングチケット,東京都港区芝公園４丁目６－８地先,1,0,その他,"[139.74556, 35.655968]"
3875,Ａｕｄｉ芝浦,東京都港区芝浦１－６－３８,1,0,自動車ディーラー,"[139.75528, 35.647343]"
3876,Honda ウエルカムプラザ　青山,東京都港区南青山２－１－１,1,0,自動車ディーラー,"[139.723816, 35.672199]"
3877,メルセデス・ベンツ麻布,東京都港区三田１－１－１５,1,0,自動車ディーラー,"[139.738907, 35.655296]"
3878,メルセデス・ベンツ東京芝浦,東京都港区芝浦１－６－３８,1,0,自動車ディーラー,"[139.75528, 35.647343]"
3879,品川イーストワンタワー,東京都港区港南２－１６－１,0,2,大規模小売店舗,"[139.740677, 35.626488]"
3880,東京ミッドタウン,東京都港区赤坂９－７－１,0,125,大規模小売店舗,"[139.732208, 35.666023]"
3881,三田国際ビル,東京都港区三田１－４－２８,0,50,大規模小売店舗,"[139.742737, 35.653156]"
3882,虎ノ門ヒルズ駐車場地下３階,東京都港区虎ノ門１丁目２３番３号,0,61,大規模小売店舗,"[139.749207, 35.666832]"
3883,六本木ヒルズ第２駐車場,東京都港区六本木６丁目１０番１号,0,239,大規模小売店舗,"[139.729202, 35.660206]"
3884,アーク森ビル駐車場地下２階,東京都港区赤坂１丁目１２番３２号,0,94,大規模小売店舗,"[139.741302, 35.667343]"
3885,カナダコート,東京都港区赤坂７－３－２４,0,1,その他,"[139.728806, 35.67326]"
3886,モビリティ東京　港三田店,東京都港区三田２－２０－１２,0,1,自動車ディーラー,"[139.738876, 35.648289]"
3887,モビリティ東京　三田店,東京都港区三田３－１１－３４,0,1,自動車ディーラー,"[139.741776, 35.641232]"
3888,モビリティ東京　芝浦店,東京都港区芝浦４―８―３,0,1,自動車ディーラー,"[139.747116, 35.639748]"
3889,モビリティ東京　白金店,東京都港区白金台１－１－３６,0,1,自動車ディーラー,"[139.729813, 35.63879]"
3890,東日本三菱自動車販売（株）新宿店,東京都新宿区西新宿４－４１－１２,1,0,自動車ディーラー,"[139.686005, 35.68441]"
3891,コスモ石油セルフピュア新宿中央ＳＳ,東京都新宿区西新宿６－１４－４,1,0,ガソリンスタンド,"[139.689697, 35.692436]"
3892,モビリティ東京　レクサス新宿,東京都新宿区大久保２丁目５－１７,1,0,自動車ディーラー,"[139.708313, 35.703228]"
3893,日産自動車販売丸山店,東京都新宿区西落合２丁目１－１２,1,0,自動車ディーラー,"[139.677963, 35.723648]"
3894,メルセデス・ベンツ新宿副都心,東京都新宿区北新宿１－２０－８,1,0,自動車ディーラー,"[139.693283, 35.697395]"
3895,新宿三井ビルディング　Ｂ３Ｆ,東京都新宿区西新宿２丁目１－１,0,35,その他,"[139.693924, 35.691662]"
3896,新宿サブナード駐車場,東京都新宿区歌舞伎町１－２－２,0,6,大規模小売店舗,"[139.703705, 35.693451]"
3897,モビリティ東京　新宿明治通り南店,東京都新宿区新宿７－２７－１９,0,1,自動車ディーラー,"[139.707962, 35.700039]"
3898,モビリティ東京　新宿靖国通り店,東京都新宿区新宿１－２７－７,0,1,自動車ディーラー,"[139.713882, 35.69112]"
