設置場所名称,所在地,電話番号,営業時間,急速充電器基数,普通充電器基数,加盟・提携区分,施設カテゴリー,ネットワーク事業者,新規,新規設置利用開始日,備考
ロイトン札幌,北海道札幌市中央区北一条西１１－１,011-271-2711,07:00 ～ 22:00,1,2,提携,宿泊施設,エネゲート,,,急速充電器は２４時間利用可
北海道三菱自動車販売（株）南店,北海道札幌市中央区南１０条西１０丁目１番１５号,011-531-5181,24時間営業,2,0,提携,自動車ディーラー,エネゲート,,,【定休日情報】　ー　【その他】2基のうち1基は2016/12/23（金）～稼動
コニサーオイル車検整備センター,北海道札幌市中央区北一条東１３丁目１－２,011-233-5252,09:00 ～ 18:30,1,0,提携,ガソリンスタンド,エネゲート,,,【定休日等】年末年始
トヨタカローラ札幌　レクサス藻岩,北海道札幌市中央区南３０条西１１丁目１－１０,011-520-3000,09:30 ～ 18:30,1,0,提携,自動車ディーラー,エネゲート,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回30分迄。詳細は店舗へお問合せください。
札幌日産中央店,北海道札幌市中央区大通東２－３－３,011-231-4132,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
日産プリンス札幌中央支店,北海道札幌市中央区南８条西１１丁目２－１,011-561-5105,24時間営業,2,0,提携,自動車ディーラー,e-Moblity Power,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
北海道日産西店,北海道札幌市中央区北５条西２０丁目１－１,011-611-1231,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
北海道日産中央店,北海道札幌市中央区北３条東４丁目５－１,011-252-2323,24時間営業,1,0,提携,自動車ディーラー,JCN,,,【定休日等】年末年始・ＧＷ・お盆等長期休暇については日産自動車ホームページをご確認下さい。
イオン札幌桑園ショッピングセンター,北海道札幌市中央区北８条西１４－２８,011-204-7200,09:00 ～ 20:00,1,1,提携,大規模小売店舗,NEC,,,【駐車料金等】駐車料金:400円/時間
メルセデス・ベンツ札幌中央,北海道札幌市中央区北２条東１４丁目４－１,011-210-0777,10:00 ～ 18:00,3,0,提携,自動車ディーラー,日本ユニシス,,,店舗は毎週火曜日と祭日はお休みです
ホテル札幌ガーデンパレス,北海道札幌市中央区北１条西６,011-261-5311,24時間営業,0,1,加盟,宿泊施設,トヨタコネクティッド,,,【駐車料金等】400/時間
トヨタカローラ札幌　ジョイック藻岩,北海道札幌市中央区南３０条西１１丁目３－１０,011-820-1015,09:30 ～ 18:30,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】なし。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
ネッツトヨタ道都　本社,北海道札幌市中央区宮の森４条１丁目３番１号,011-631-3182,09:30 ～ 18:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
札幌トヨペット　札幌店,北海道札幌市中央区南６条西６丁目９番地,011-511-8181,09:30 ～ 19:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,,【定休日等】なし。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。
札幌トヨタ　琴似支店,北海道札幌市中央区宮の森３条１丁目１番４６号,011-621-1111,09:30 ～ 17:00,1,1,提携,自動車ディーラー,e-Moblity Power,,, 【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
札幌トヨタ　札幌支店,北海道札幌市中央区北５条東１丁目２番５号,011-261-3211,09:30 ～ 17:00,0,1,提携,自動車ディーラー,トヨタコネクティッド,,, 【定休日等】毎週火曜。GW、年末年始など不定期に停止することがあります。充電時間1回1時間迄。詳細は店舗へお問合せください。 
苗穂駅前温泉　蔵ノ湯,北海道札幌市中央区北２条東１３－２５－１,011-200-3800,06:00 ～ 00:00,0,2,加盟,飲食店,日本ユニシス,,,【ご注意】　駐車場が満車の際は、ご利用いただけないことがあります。
北海道三菱自動車販売（株）石狩店,北海道札幌市北区太平２条３丁目１番１号,011-774-1111,24時間営業,1,0,提携,自動車ディーラー,エネゲート,,,【利用不可日】年1回メンテナンスのため休止
ホクレンショップＦｏｏｄＦａｒｍ屯田８条,北海道札幌市北区屯田８条１０－６－１,011-775-1131,10:00 ～ 22:00,1,0,加盟,大規模小売店舗,エネゲート,,,【定休日等】1月1日　
ラッキー新琴似四番通店,北海道札幌市北区新琴似八条１０－１－２２,,09:00 ～ 21:00,1,0,提携,大規模小売店舗,エネゲート,,,
